Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Abs. Win Rate,Rel. Win Rate,Total Risk
0.5,0.0,0.0,0.0,0.0,0.5,-2.34,-0.62,0.977324783773235,65.0,45.0,10.69
0.0,0.5,0.0,0.0,0.0,0.5,0.62,0.02,0.864121719892631,60.0,50.0,8.73
0.0,0.0,0.5,0.0,0.0,0.5,1.53,0.33,1.06693844484371,55.0,60.0,10.9
0.0,0.0,0.0,0.5,0.0,0.5,0.11,-0.06,1.00770375166475,55.0,50.0,10.34
0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.07,0.800792483114351,55.0,45.0,7.88
0.333,0.333,0.333,0.0,0.0,0.0,7.8,2.13,1.5092227906224,55.0,65.0,15.8
0.333,0.333,0.0,0.333,0.0,0.0,6.43,1.61,1.34768636692003,60.0,50.0,13.8
0.333,0.0,0.333,0.333,0.0,0.0,6.83,2.02,1.67432002788575,55.0,40.0,17.71
0.0,0.333,0.333,0.333,0.0,0.0,8.05,2.0,1.33183787312862,55.0,65.0,13.57
0.333,0.333,0.0,0.0,0.333,0.0,4.53,1.09,1.25650542122296,60.0,70.0,12.43
0.333,0.0,0.333,0.0,0.333,0.0,6.73,1.97,1.61401802332804,55.0,60.0,17.39
0.0,0.333,0.333,0.0,0.333,0.0,5.02,1.18,1.21094655360059,55.0,65.0,11.96
0.333,0.0,0.0,0.333,0.333,0.0,5.02,1.26,1.3403148753313,60.0,55.0,13.66
0.0,0.333,0.0,0.333,0.333,0.0,4.26,1.07,1.1593358089321,65.0,60.0,12.22
0.0,0.0,0.333,0.333,0.333,0.0,7.89,1.98,1.37412028655447,60.0,65.0,14.05
0.333,0.333,0.0,0.0,0.0,0.333,1.69,0.32,0.911257538148251,65.0,45.0,9.66
0.333,0.0,0.333,0.0,0.0,0.333,0.02,0.08,1.22123936514828,60.0,50.0,13.0
0.0,0.333,0.333,0.0,0.0,0.333,4.58,1.02,1.002048959969,55.0,55.0,10.09
0.333,0.0,0.0,0.333,0.0,0.333,2.08,0.48,1.11725322700999,55.0,55.0,11.73
0.0,0.333,0.0,0.333,0.0,0.333,2.22,0.43,0.948520311824013,55.0,40.0,9.71
0.0,0.0,0.333,0.333,0.0,0.333,4.62,1.12,1.20404106746577,55.0,45.0,12.43
0.333,0.0,0.0,0.0,0.333,0.333,1.77,0.31,0.924853412215125,60.0,50.0,9.36
0.0,0.333,0.0,0.0,0.333,0.333,2.4,0.43,0.857932816811318,65.0,45.0,8.48
0.0,0.0,0.333,0.0,0.333,0.333,1.72,0.27,0.905352419512736,55.0,50.0,8.98
0.0,0.0,0.0,0.333,0.333,0.333,1.0,0.11,0.889153520370097,60.0,45.0,9.09
0.25,0.25,0.25,0.25,0.0,0.0,9.61,2.47,1.48103126725664,55.0,50.0,15.36
0.25,0.25,0.25,0.0,0.25,0.0,5.8,1.46,1.34710891328833,55.0,70.0,13.66
0.25,0.25,0.0,0.25,0.25,0.0,6.42,1.56,1.21707790692659,65.0,65.0,12.51
0.25,0.0,0.25,0.25,0.25,0.0,6.56,1.81,1.57902822205616,55.0,45.0,16.25
0.0,0.25,0.25,0.25,0.25,0.0,6.77,1.67,1.26945020534147,60.0,55.0,13.04
0.25,0.25,0.25,0.0,0.0,0.25,4.29,1.04,1.1360646330057,60.0,60.0,11.75
0.25,0.25,0.0,0.25,0.0,0.25,3.36,0.73,0.996955142809022,55.0,60.0,10.25
0.25,0.0,0.25,0.25,0.0,0.25,4.36,1.16,1.31225730127587,60.0,50.0,13.93
0.0,0.25,0.25,0.25,0.0,0.25,5.13,1.17,1.07187977771776,60.0,60.0,10.85
0.25,0.25,0.0,0.0,0.25,0.25,2.39,0.42,0.852324781014967,55.0,55.0,8.39
0.25,0.0,0.25,0.0,0.25,0.25,2.07,0.45,1.09406169261229,60.0,60.0,11.22
0.0,0.25,0.25,0.0,0.25,0.25,3.74,0.76,0.906347413776499,55.0,65.0,8.92
0.25,0.0,0.0,0.25,0.25,0.25,3.09,0.64,0.979382952422397,55.0,65.0,10.05
0.0,0.25,0.0,0.25,0.25,0.25,1.86,0.34,0.892118302906435,65.0,40.0,9.2
0.0,0.0,0.25,0.25,0.25,0.25,3.67,0.79,1.04857062183432,60.0,55.0,10.51
0.2,0.2,0.2,0.2,0.2,0.0,8.05,2.0,1.37197448621294,55.0,60.0,13.92
0.2,0.2,0.2,0.2,0.0,0.2,5.49,1.3,1.18178448944104,55.0,55.0,11.92
0.2,0.2,0.2,0.0,0.2,0.2,3.47,0.74,1.01077057592519,55.0,65.0,10.08
0.2,0.2,0.0,0.2,0.2,0.2,3.37,0.68,0.918444485368479,60.0,60.0,9.2
0.2,0.0,0.2,0.2,0.2,0.2,4.49,1.04,1.16287812738739,55.0,50.0,11.82
0.0,0.2,0.2,0.2,0.2,0.2,4.05,0.88,0.998392016973973,60.0,65.0,10.06
0.167,0.167,0.167,0.167,0.167,0.167,5.75,1.29,1.04848934634313,55.0,75.0,10.5
