Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Total Risk,Abs. Win Rate,Rel. Win Rate,Systematic Risk
0.5,0.0,0.0,0.0,0.0,0.5,-2.34,-0.62,10.69,65.0,45.0,0.977324783773235
0.0,0.5,0.0,0.0,0.0,0.5,0.62,0.02,8.73,60.0,50.0,0.864121719892631
0.0,0.0,0.5,0.0,0.0,0.5,1.53,0.33,10.9,55.0,60.0,1.06693844484371
0.0,0.0,0.0,0.5,0.0,0.5,0.11,-0.06,10.34,55.0,50.0,1.00770375166475
0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.07,7.88,55.0,45.0,0.800792483114351
0.333,0.333,0.333,0.0,0.0,0.0,7.8,2.13,15.8,55.0,65.0,1.5092227906224
0.333,0.333,0.0,0.333,0.0,0.0,6.43,1.61,13.8,60.0,50.0,1.34768636692003
0.333,0.0,0.333,0.333,0.0,0.0,6.83,2.02,17.71,55.0,40.0,1.67432002788575
0.0,0.333,0.333,0.333,0.0,0.0,8.05,2.0,13.57,55.0,65.0,1.33183787312862
0.333,0.333,0.0,0.0,0.333,0.0,4.53,1.09,12.43,60.0,70.0,1.25650542122296
0.333,0.0,0.333,0.0,0.333,0.0,6.73,1.97,17.39,55.0,60.0,1.61401802332804
0.0,0.333,0.333,0.0,0.333,0.0,5.02,1.18,11.96,55.0,65.0,1.21094655360059
0.333,0.0,0.0,0.333,0.333,0.0,5.02,1.26,13.66,60.0,55.0,1.3403148753313
0.0,0.333,0.0,0.333,0.333,0.0,4.26,1.07,12.22,65.0,60.0,1.1593358089321
0.0,0.0,0.333,0.333,0.333,0.0,7.89,1.98,14.05,60.0,65.0,1.37412028655447
0.333,0.333,0.0,0.0,0.0,0.333,1.69,0.32,9.66,65.0,45.0,0.911257538148251
0.333,0.0,0.333,0.0,0.0,0.333,0.02,0.08,13.0,60.0,50.0,1.22123936514828
0.0,0.333,0.333,0.0,0.0,0.333,4.58,1.02,10.09,55.0,55.0,1.002048959969
0.333,0.0,0.0,0.333,0.0,0.333,2.08,0.48,11.73,55.0,55.0,1.11725322700999
0.0,0.333,0.0,0.333,0.0,0.333,2.22,0.43,9.71,55.0,40.0,0.948520311824013
0.0,0.0,0.333,0.333,0.0,0.333,4.62,1.12,12.43,55.0,45.0,1.20404106746577
0.333,0.0,0.0,0.0,0.333,0.333,1.77,0.31,9.36,60.0,50.0,0.924853412215125
0.0,0.333,0.0,0.0,0.333,0.333,2.4,0.43,8.48,65.0,45.0,0.857932816811318
0.0,0.0,0.333,0.0,0.333,0.333,1.72,0.27,8.98,55.0,50.0,0.905352419512736
0.0,0.0,0.0,0.333,0.333,0.333,1.0,0.11,9.09,60.0,45.0,0.889153520370097
0.25,0.25,0.25,0.25,0.0,0.0,9.61,2.47,15.36,55.0,50.0,1.48103126725664
0.25,0.25,0.25,0.0,0.25,0.0,5.8,1.46,13.66,55.0,70.0,1.34710891328833
0.25,0.25,0.0,0.25,0.25,0.0,6.42,1.56,12.51,65.0,65.0,1.21707790692659
0.25,0.0,0.25,0.25,0.25,0.0,6.56,1.81,16.25,55.0,45.0,1.57902822205616
0.0,0.25,0.25,0.25,0.25,0.0,6.77,1.67,13.04,60.0,55.0,1.26945020534147
0.25,0.25,0.25,0.0,0.0,0.25,4.29,1.04,11.75,60.0,60.0,1.1360646330057
0.25,0.25,0.0,0.25,0.0,0.25,3.36,0.73,10.25,55.0,60.0,0.996955142809022
0.25,0.0,0.25,0.25,0.0,0.25,4.36,1.16,13.93,60.0,50.0,1.31225730127587
0.0,0.25,0.25,0.25,0.0,0.25,5.13,1.17,10.85,60.0,60.0,1.07187977771776
0.25,0.25,0.0,0.0,0.25,0.25,2.39,0.42,8.39,55.0,55.0,0.852324781014967
0.25,0.0,0.25,0.0,0.25,0.25,2.07,0.45,11.22,60.0,60.0,1.09406169261229
0.0,0.25,0.25,0.0,0.25,0.25,3.74,0.76,8.92,55.0,65.0,0.906347413776499
0.25,0.0,0.0,0.25,0.25,0.25,3.09,0.64,10.05,55.0,65.0,0.979382952422397
0.0,0.25,0.0,0.25,0.25,0.25,1.86,0.34,9.2,65.0,40.0,0.892118302906435
0.0,0.0,0.25,0.25,0.25,0.25,3.67,0.79,10.51,60.0,55.0,1.04857062183432
0.2,0.2,0.2,0.2,0.2,0.0,8.05,2.0,13.92,55.0,60.0,1.37197448621294
0.2,0.2,0.2,0.2,0.0,0.2,5.49,1.3,11.92,55.0,55.0,1.18178448944104
0.2,0.2,0.2,0.0,0.2,0.2,3.47,0.74,10.08,55.0,65.0,1.01077057592519
0.2,0.2,0.0,0.2,0.2,0.2,3.37,0.68,9.2,60.0,60.0,0.918444485368479
0.2,0.0,0.2,0.2,0.2,0.2,4.49,1.04,11.82,55.0,50.0,1.16287812738739
0.0,0.2,0.2,0.2,0.2,0.2,4.05,0.88,10.06,60.0,65.0,0.998392016973973
0.167,0.167,0.167,0.167,0.167,0.167,5.75,1.29,10.5,55.0,75.0,1.04848934634313
