Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Excess Return
0.5,0.0,0.0,0.0,0.0,0.5,-2.34,0.977324783773235,10.69,65.0,45.0,-0.62
0.0,0.5,0.0,0.0,0.0,0.5,0.62,0.864121719892631,8.73,60.0,50.0,0.02
0.0,0.0,0.5,0.0,0.0,0.5,1.53,1.06693844484371,10.9,55.0,60.0,0.33
0.0,0.0,0.0,0.5,0.0,0.5,0.11,1.00770375166475,10.34,55.0,50.0,-0.06
0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.800792483114351,7.88,55.0,45.0,0.07
0.333,0.333,0.333,0.0,0.0,0.0,7.8,1.5092227906224,15.8,55.0,65.0,2.13
0.333,0.333,0.0,0.333,0.0,0.0,6.43,1.34768636692003,13.8,60.0,50.0,1.61
0.333,0.0,0.333,0.333,0.0,0.0,6.83,1.67432002788575,17.71,55.0,40.0,2.02
0.0,0.333,0.333,0.333,0.0,0.0,8.05,1.33183787312862,13.57,55.0,65.0,2.0
0.333,0.333,0.0,0.0,0.333,0.0,4.53,1.25650542122296,12.43,60.0,70.0,1.09
0.333,0.0,0.333,0.0,0.333,0.0,6.73,1.61401802332804,17.39,55.0,60.0,1.97
0.0,0.333,0.333,0.0,0.333,0.0,5.02,1.21094655360059,11.96,55.0,65.0,1.18
0.333,0.0,0.0,0.333,0.333,0.0,5.02,1.3403148753313,13.66,60.0,55.0,1.26
0.0,0.333,0.0,0.333,0.333,0.0,4.26,1.1593358089321,12.22,65.0,60.0,1.07
0.0,0.0,0.333,0.333,0.333,0.0,7.89,1.37412028655447,14.05,60.0,65.0,1.98
0.333,0.333,0.0,0.0,0.0,0.333,1.69,0.911257538148251,9.66,65.0,45.0,0.32
0.333,0.0,0.333,0.0,0.0,0.333,0.02,1.22123936514828,13.0,60.0,50.0,0.08
0.0,0.333,0.333,0.0,0.0,0.333,4.58,1.002048959969,10.09,55.0,55.0,1.02
0.333,0.0,0.0,0.333,0.0,0.333,2.08,1.11725322700999,11.73,55.0,55.0,0.48
0.0,0.333,0.0,0.333,0.0,0.333,2.22,0.948520311824013,9.71,55.0,40.0,0.43
0.0,0.0,0.333,0.333,0.0,0.333,4.62,1.20404106746577,12.43,55.0,45.0,1.12
0.333,0.0,0.0,0.0,0.333,0.333,1.77,0.924853412215125,9.36,60.0,50.0,0.31
0.0,0.333,0.0,0.0,0.333,0.333,2.4,0.857932816811318,8.48,65.0,45.0,0.43
0.0,0.0,0.333,0.0,0.333,0.333,1.72,0.905352419512736,8.98,55.0,50.0,0.27
0.0,0.0,0.0,0.333,0.333,0.333,1.0,0.889153520370097,9.09,60.0,45.0,0.11
0.25,0.25,0.25,0.25,0.0,0.0,9.61,1.48103126725664,15.36,55.0,50.0,2.47
0.25,0.25,0.25,0.0,0.25,0.0,5.8,1.34710891328833,13.66,55.0,70.0,1.46
0.25,0.25,0.0,0.25,0.25,0.0,6.42,1.21707790692659,12.51,65.0,65.0,1.56
0.25,0.0,0.25,0.25,0.25,0.0,6.56,1.57902822205616,16.25,55.0,45.0,1.81
0.0,0.25,0.25,0.25,0.25,0.0,6.77,1.26945020534147,13.04,60.0,55.0,1.67
0.25,0.25,0.25,0.0,0.0,0.25,4.29,1.1360646330057,11.75,60.0,60.0,1.04
0.25,0.25,0.0,0.25,0.0,0.25,3.36,0.996955142809022,10.25,55.0,60.0,0.73
0.25,0.0,0.25,0.25,0.0,0.25,4.36,1.31225730127587,13.93,60.0,50.0,1.16
0.0,0.25,0.25,0.25,0.0,0.25,5.13,1.07187977771776,10.85,60.0,60.0,1.17
0.25,0.25,0.0,0.0,0.25,0.25,2.39,0.852324781014967,8.39,55.0,55.0,0.42
0.25,0.0,0.25,0.0,0.25,0.25,2.07,1.09406169261229,11.22,60.0,60.0,0.45
0.0,0.25,0.25,0.0,0.25,0.25,3.74,0.906347413776499,8.92,55.0,65.0,0.76
0.25,0.0,0.0,0.25,0.25,0.25,3.09,0.979382952422397,10.05,55.0,65.0,0.64
0.0,0.25,0.0,0.25,0.25,0.25,1.86,0.892118302906435,9.2,65.0,40.0,0.34
0.0,0.0,0.25,0.25,0.25,0.25,3.67,1.04857062183432,10.51,60.0,55.0,0.79
0.2,0.2,0.2,0.2,0.2,0.0,8.05,1.37197448621294,13.92,55.0,60.0,2.0
0.2,0.2,0.2,0.2,0.0,0.2,5.49,1.18178448944104,11.92,55.0,55.0,1.3
0.2,0.2,0.2,0.0,0.2,0.2,3.47,1.01077057592519,10.08,55.0,65.0,0.74
0.2,0.2,0.0,0.2,0.2,0.2,3.37,0.918444485368479,9.2,60.0,60.0,0.68
0.2,0.0,0.2,0.2,0.2,0.2,4.49,1.16287812738739,11.82,55.0,50.0,1.04
0.0,0.2,0.2,0.2,0.2,0.2,4.05,0.998392016973973,10.06,60.0,65.0,0.88
0.167,0.167,0.167,0.167,0.167,0.167,5.75,1.04848934634313,10.5,55.0,75.0,1.29
